param,mean_accuracy,std_accuracy
0.0001,0.8083627627627628,0.007578158707119466
0.00012067926406393288,0.8199657657657656,0.005948821035714413
0.00014563484775012445,0.8319683683683683,0.00788488234584679
0.00017575106248547912,0.8403699699699698,0.00953241997785653
0.00021209508879201905,0.8499707707707707,0.008207897633226892
0.0002559547922699536,0.8565723723723725,0.007479617287325273
0.00030888435964774815,0.8619737737737736,0.005868184054083602
0.0003727593720314938,0.867374974974975,0.00801636604872369
0.0004498432668969444,0.8739753753753755,0.00694655869771529
0.0005428675439323859,0.877975975975976,0.007765707470593086
0.0006551285568595509,0.8843763763763762,0.005399594956639424
0.0007906043210907702,0.8887767767767768,0.0059987582227766624
0.0009540954763499944,0.8905771771771771,0.005903562779791236
0.0011513953993264468,0.892377977977978,0.005171812601353754
0.0013894954943731374,0.8925783783783784,0.0043206267975876116
0.0016768329368110067,0.8947787787787789,0.0054217852516375556
0.0020235896477251557,0.8947787787787789,0.005234095462911858
0.0024420530945486497,0.8945785785785786,0.007121122387498443
0.0029470517025518097,0.894778978978979,0.0062732255758015535
0.0035564803062231283,0.8933783783783784,0.007314534196968857
0.004291934260128779,0.8939781781781783,0.008493105185888231
0.005179474679231213,0.8959789789789789,0.007459477835300617
0.0062505519252739694,0.8945787787787788,0.005428376076358934
0.007543120063354615,0.8923773773773774,0.006267884129157282
0.009102981779915217,0.8915771771771771,0.006992688977824059
0.010985411419875584,0.8907773773773773,0.006060856297929305
0.013257113655901081,0.8901767767767769,0.006168478356965815
0.015998587196060572,0.8893763763763763,0.006766968444732263
0.019306977288832496,0.8885759759759759,0.0073658347679088215
0.023299518105153717,0.8887757757757757,0.008404590534163588
0.02811768697974228,0.8885759759759759,0.007311328321730219
0.033932217718953266,0.8895763763763764,0.005983419706275969
0.040949150623804234,0.8895765765765766,0.005843918532649888
0.04941713361323833,0.889176976976977,0.006095532268124736
0.05963623316594643,0.8889769769769771,0.0066171220649569925
0.07196856730011514,0.8885769769769769,0.0066036267311320885
0.08685113737513521,0.8885771771771772,0.006193606558673641
0.10481131341546852,0.8883771771771771,0.006352293528680489
0.12648552168552957,0.887776976976977,0.005990913884148681
0.15264179671752318,0.887576976976977,0.005653480340292713
0.18420699693267145,0.8873767767767766,0.006099186436755772
0.22229964825261933,0.8871769769769771,0.00575008013332491
0.2682695795279725,0.8873769769769769,0.00575783212232408
0.32374575428176433,0.8875767767767769,0.005404568852331778
0.3906939937054613,0.8869767767767769,0.006208179814706318
0.47148663634573895,0.8871771771771773,0.006181978510132597
0.5689866029018293,0.8867771771771771,0.005495325289869834
0.6866488450042998,0.887177177177177,0.005711117079848848
0.8286427728546842,0.886976976976977,0.005770113719022234
1.0,0.8877775775775776,0.006012739981999908
